"","year","score","scenario","type"
"1",1981,0.860861498132332,"fmsy0","overall"
"2",1982,0.843317180988256,"fmsy0","overall"
"3",1983,0.820435622185387,"fmsy0","overall"
"4",1984,0.834851898202046,"fmsy0","overall"
"5",1985,0.850096003080307,"fmsy0","overall"
"6",1986,0.863933374000728,"fmsy0","overall"
"7",1987,0.844366358707805,"fmsy0","overall"
"8",1988,0.854175365488547,"fmsy0","overall"
"9",1989,0.823303504980645,"fmsy0","overall"
"10",1990,0.870130343985846,"fmsy0","overall"
"11",1991,0.863973812265034,"fmsy0","overall"
"12",1992,0.831496958769291,"fmsy0","overall"
"13",1993,0.858500708626599,"fmsy0","overall"
"14",1994,0.857875304018903,"fmsy0","overall"
"15",1995,0.854208795314344,"fmsy0","overall"
"16",1996,0.852924396474003,"fmsy0","overall"
"17",1997,0.834020272158562,"fmsy0","overall"
"18",1998,0.842335602191797,"fmsy0","overall"
"19",1999,0.84671621254331,"fmsy0","overall"
"20",2000,0.852297987331312,"fmsy0","overall"
"21",2001,0.879918045390433,"fmsy0","overall"
"22",2002,0.850568588882185,"fmsy0","overall"
"23",2003,0.861341988140135,"fmsy0","overall"
"24",2004,0.848278623220242,"fmsy0","overall"
"25",2005,0.830285430764694,"fmsy0","overall"
"26",2006,0.820208621855661,"fmsy0","overall"
"27",2007,0.82091482513069,"fmsy0","overall"
"28",2008,0.80066330067898,"fmsy0","overall"
"29",2009,0.839687099374767,"fmsy0","overall"
"30",2010,0.833779547112786,"fmsy0","overall"
"31",2011,0.828969301215896,"fmsy0","overall"
"32",2012,0.793194868518446,"fmsy0","overall"
"33",2013,0.833359926300493,"fmsy0","overall"
"34",2014,0.828762817577001,"fmsy0","overall"
"35",2015,0.820777919699993,"fmsy0","overall"
"36",1981,0.81334157178699,"fmsy1","overall"
"37",1982,0.814021365520062,"fmsy1","overall"
"38",1983,0.814190496062168,"fmsy1","overall"
"39",1984,0.844617266834278,"fmsy1","overall"
"40",1985,0.835714364807845,"fmsy1","overall"
"41",1986,0.829809299851357,"fmsy1","overall"
"42",1987,0.816454609985256,"fmsy1","overall"
"43",1988,0.859304526144046,"fmsy1","overall"
"44",1989,0.849302588747953,"fmsy1","overall"
"45",1990,0.858080652333819,"fmsy1","overall"
"46",1991,0.8741037736015,"fmsy1","overall"
"47",1992,0.864695954330197,"fmsy1","overall"
"48",1993,0.871520675271979,"fmsy1","overall"
"49",1994,0.871075237336193,"fmsy1","overall"
"50",1995,0.863034171083666,"fmsy1","overall"
"51",1996,0.857429438375714,"fmsy1","overall"
"52",1997,0.806901194103326,"fmsy1","overall"
"53",1998,0.848449780941752,"fmsy1","overall"
"54",1999,0.828796525882609,"fmsy1","overall"
"55",2000,0.837972085089814,"fmsy1","overall"
"56",2001,0.83894450281735,"fmsy1","overall"
"57",2002,0.810878622970882,"fmsy1","overall"
"58",2003,0.854016888792571,"fmsy1","overall"
"59",2004,0.81908714696384,"fmsy1","overall"
"60",2005,0.861025964990048,"fmsy1","overall"
"61",2006,0.857218479054222,"fmsy1","overall"
"62",2007,0.810879587121009,"fmsy1","overall"
"63",2008,0.836595309893688,"fmsy1","overall"
"64",2009,0.812395810886791,"fmsy1","overall"
"65",2010,0.823475550041884,"fmsy1","overall"
"66",2011,0.855488905907741,"fmsy1","overall"
"67",2012,0.812280642296016,"fmsy1","overall"
"68",2013,0.795692264676515,"fmsy1","overall"
"69",2014,0.821193490509055,"fmsy1","overall"
"70",2015,0.818776936388009,"fmsy1","overall"
"71",1981,0.853879684733005,"fmsy2","overall"
"72",1982,0.820352157884548,"fmsy2","overall"
"73",1983,0.855732338104839,"fmsy2","overall"
"74",1984,0.825938688276308,"fmsy2","overall"
"75",1985,0.846662782733572,"fmsy2","overall"
"76",1986,0.850954775946046,"fmsy2","overall"
"77",1987,0.849292109361093,"fmsy2","overall"
"78",1988,0.846025209208918,"fmsy2","overall"
"79",1989,0.801561225867909,"fmsy2","overall"
"80",1990,0.824050874464493,"fmsy2","overall"
"81",1991,0.81880735868718,"fmsy2","overall"
"82",1992,0.799264718625976,"fmsy2","overall"
"83",1993,0.807617718605019,"fmsy2","overall"
"84",1994,0.761814773850283,"fmsy2","overall"
"85",1995,0.826884080855529,"fmsy2","overall"
"86",1996,0.768890526951188,"fmsy2","overall"
"87",1997,0.812786035916704,"fmsy2","overall"
"88",1998,0.782765376693208,"fmsy2","overall"
"89",1999,0.763772219712291,"fmsy2","overall"
"90",2000,0.789271320300045,"fmsy2","overall"
"91",2001,0.789502645805151,"fmsy2","overall"
"92",2002,0.777526432254793,"fmsy2","overall"
"93",2003,0.80596649403414,"fmsy2","overall"
"94",2004,0.788336244157503,"fmsy2","overall"
"95",2005,0.814575637345589,"fmsy2","overall"
"96",2006,0.811824861897407,"fmsy2","overall"
"97",2007,0.794120541543733,"fmsy2","overall"
"98",2008,0.756417700353683,"fmsy2","overall"
"99",2009,0.778141632143758,"fmsy2","overall"
"100",2010,0.803733232446765,"fmsy2","overall"
"101",2011,0.735079601898109,"fmsy2","overall"
"102",2012,0.807804188399849,"fmsy2","overall"
"103",2013,0.758707390762142,"fmsy2","overall"
"104",2014,0.772684364340501,"fmsy2","overall"
"105",2015,0.745563671917157,"fmsy2","overall"
"106",1981,0.84615632304413,"fmsy0","benthic"
"107",1982,0.857200824383737,"fmsy0","benthic"
"108",1983,0.860219953055175,"fmsy0","benthic"
"109",1984,0.86507592145773,"fmsy0","benthic"
"110",1985,0.876420471955609,"fmsy0","benthic"
"111",1986,0.875571868770957,"fmsy0","benthic"
"112",1987,0.878733420607578,"fmsy0","benthic"
"113",1988,0.882456204520868,"fmsy0","benthic"
"114",1989,0.8788892874864,"fmsy0","benthic"
"115",1990,0.879110574170382,"fmsy0","benthic"
"116",1991,0.877216135256097,"fmsy0","benthic"
"117",1992,0.875730466996149,"fmsy0","benthic"
"118",1993,0.874036181112943,"fmsy0","benthic"
"119",1994,0.873478889961485,"fmsy0","benthic"
"120",1995,0.87300778923414,"fmsy0","benthic"
"121",1996,0.87130265608165,"fmsy0","benthic"
"122",1997,0.873652321399342,"fmsy0","benthic"
"123",1998,0.872699517161178,"fmsy0","benthic"
"124",1999,0.872946052402869,"fmsy0","benthic"
"125",2000,0.876198455577469,"fmsy0","benthic"
"126",2001,0.875998287383338,"fmsy0","benthic"
"127",2002,0.874468839416918,"fmsy0","benthic"
"128",2003,0.871813858852472,"fmsy0","benthic"
"129",2004,0.861178540039194,"fmsy0","benthic"
"130",2005,0.859544751408532,"fmsy0","benthic"
"131",2006,0.859107149707699,"fmsy0","benthic"
"132",2007,0.858193855655662,"fmsy0","benthic"
"133",2008,0.857826969229701,"fmsy0","benthic"
"134",2009,0.856673338022694,"fmsy0","benthic"
