indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
13,Capelin,CAP,1315779.799,2201549.438,3196148.544,2087397.759,1588865.853,1966994.432,1359900.309,957276.9904,3342854.724,4349790.809,2109346.17,2246582.166,2919715.801,3270003.271,1683864.777,1561863.884,2866421.663,1731869.126,2146085.93,4196825.44,2953544.91,2354921.509,1815249.346,1485534.919,2401872.765,1497741.479,942072.8995,2166505.494,1643879.043,2526836.037,3443613.324,2116999.676,1200625.832,2196156.499,1619925.528
14,Jellyfish,ZG,6492303.186,6465328.07,6419499.363,6801377.64,6780773.224,6765599.732,6718864.764,6708923.826,6676321.531,6656711.532,6606257.43,6854575.659,6798626.062,6829502.576,6796839.952,6800554.345,6749006.519,7149028.966,7251848.417,7224272.907,7191446.125,7256377.831,7536384.027,7516729.432,7579587.063,7527095.351,7673760.327,7653519.219,7631562.092,7904576.085,8405304.659,8463463.245,8819751.205,9304961.371,9291479.508
15,Phytoplankton small,PS,29582117.67,29756824.79,138627665.3,29237836.28,29124039.59,29010764.53,28898333.99,31047053.08,29266957.77,28562392.02,28451910.22,28339595.29,28229364.35,28119435.52,28010042.6,28056503.39,27792400.5,27684483.09,27581888.59,27469175.33,27431524.85,27255794.38,27447001.96,27044126.25,26938843.98,26834004.78,26729692.32,26635176.92,26524088.21,26418746.41,26315946.36,26270999.03,26111529.44,26009921.01,25909223.38
16,Phyoplankton large,PL,2321211.62,7867004.257,15180240.64,2034247.341,1872491.351,1662265.094,1642251.564,95763550.27,20772339.43,1421467.219,1289260.073,3200545.708,2686822.177,2404941.203,2455405.976,5516012.262,2170980.027,2116498.879,1989731.066,1731431.38,3689712.055,1797322.005,14272257.71,1765888.876,3030449.217,2547850.803,2550406.154,2554144.921,2131516.333,2293404.707,2146628.941,3509028.419,1958863.054,1794961.579,1571256.814
17,Polar cod,PCO,165672.2101,170414.4311,178199.5429,194179.7827,193188.8333,204207.733,204654.6011,207234.8412,211219.0903,214885.8435,207514.0927,191057.9437,171771.7739,168034.8443,162152.6824,160471.2209,165991.0224,168958.0792,165840.1517,165561.671,170637.4629,171609.9143,176340.9757,159522.0225,157891.307,168804.0309,178879.8064,186760.0113,186354.8622,186323.7288,187610.0191,179940.4417,176318.1966,163525.6178,170592.3306
18,Northern deep sea shrimp,PWN,46762068.85,31087679.74,36153374.14,76057228.94,39042976.62,31771975.27,101597093.5,37296011.14,40266997.28,47705215.96,40622881.93,45697972.96,76771238.76,83695306.64,104448451.3,98672874.49,119718526.9,80903363.6,83404712.59,97848512.21,83301784.41,109243100.5,46790033.02,57352342.27,94059581.69,96402689.48,74858429.02,86015511.44,79367281.6,85841093.92,45471793.94,68290627.99,61322719.74,48599754.09,60697337.72
19,Lumpfish,PES,445386.1282,450310.1701,454283.3105,456538.9417,458660.7562,460544.9304,462595.5849,464314.5349,465201.7119,465871.8727,465222.2454,465491.6298,462940.3432,460629.2102,458430.055,456823.6355,455345.0995,455164.7057,454773.3522,453664.1583,453188.9939,452341.025,453048.4423,451207.3259,449015.5455,447577.9193,446258.9584,444786.9092,444388.5497,443327.0828,445976.7526,449615.2681,451410.1629,454454.607,456024.3617
20,Sand gaper,BFF,4693638.991,4651851.255,4636175.845,4601155.707,4571689.677,4552446.059,4526762.171,4454419.504,4413346.22,4417883.84,4390329.735,4365027.358,4342685.778,4314893.903,4288002.328,4282596.29,4256859.746,4193910.703,4296796.635,4270798.443,4257865.367,4370959.726,4340767.361,4327262.974,4242414.79,3824879.91,3729038.576,3684486.863,3650689.981,3637300.852,3617185.353,3576104.647,3595154.064,3592951.312,3579678.932
21,Herring,SSH,1493941.636,1492985.924,1545755.776,1571973.341,1575160.828,1593621.96,1609890.104,1572213.848,1565593.699,1582685.748,1605857.033,1584622.2,1602391.732,1615113.351,1587904.814,1579008.397,1586846.359,1604180.452,1594780.058,1593843.89,1589471.665,1601467.925,1598596.272,1591452.265,1600245.332,1577352.658,1568902.825,1574503.224,1562410.078,1552197.264,1541732.904,1542004.682,1544073.421,1554774.091,1551589.8
22,Deep sea redfish,REO,1137059.591,1154545.039,1180028.83,1171630.385,1137867.443,1109924.897,1094310.006,1096302.389,1085719.19,1109613.952,1121196.944,1114687.832,1088815.384,1065536.153,1047676.192,1057518.704,1072016.536,1092980.06,1077586.238,1049180.362,1054528.976,1067961.549,1065771.597,1064871.237,1076692.869,1063461.014,1057455.535,1045928.437,1037081.289,1040680.5,1027288.448,1032955.294,1070378.498,1051738.05,1052350.852
