indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
13,Capelin,CAP,7684326.675,10268165.76,3961169.908,2217496.045,4753201.26,3307386.242,1769895.476,2809650.451,4281948.522,2107744.404,762479.1566,1812835.658,2155340.62,1267423.743,1080238.805,1254681.803,1207838.916,1118828.362,1339621.025,731764.6842,931386.4373,2436839.036,3234308.673,1589795.255,1809167.479,1437215.982,1007037.956,843943.4508,1147710.949,1883951.215,96889149.43,56689610.29,16125305.02,1717807.939,5925350.683
14,Jellyfish,ZG,6491810.775,6466349.501,6420820.276,6808192.206,6788796.767,6782287.621,6735352.889,6743502.434,6714984.211,6705618.968,6652656.119,6924660.199,6866566.66,6931196.677,6942657.934,6919124.064,7299273.651,7683246.756,7674700.366,7893741.196,7910897.045,7888135.662,8667126.175,8653052.231,8806600.314,9050355.243,9055523.21,9216593.003,9455371.186,9531220.142,10179466.27,10464647.14,10577788.94,11602840.67,11928818.85
15,Phytoplankton small,PS,29582119.61,29694035.9,29583187.31,29237898.63,29123995.17,29013237.06,28897650.41,31058519.5,29403947.05,28561638.65,28454558.4,28345670.12,28229360.8,28119512.09,31430177.85,27925856.05,27792385.97,27684901.61,27576728.59,27477621,27362387.22,27255911.42,27690085.95,27133640.78,26938831.71,26834034.74,26729616.61,26625564.65,28153646.99,31102900.85,26316390.6,26234658.73,26111528.86,26009928.84,25910287.53
16,Phyoplankton large,PL,2258753.378,7692397.682,12147980.99,1881325.634,1732513.415,1557952.565,1560579.435,97143216.3,25943130.73,1406074.996,1248038.25,3271365.316,2676817.913,2387077.967,134243373.7,2655229.145,2096144.627,2052091.271,1843496.494,1772654.074,1654115.122,1525934.171,27344158.26,4544095.012,2953935.54,2482153.921,2505032.064,2312029.341,7230020.056,27946049.33,2065442.934,2337269.58,1849766.592,1782421.159,6329444.126
17,Polar cod,PCO,162704.8789,167031.6965,173434.1118,185362.0131,186842.1377,197823.4674,200335.9856,205097.2763,212299.1614,215312.2526,209645.3423,202221.1169,178769.3168,174974.3729,166757.2377,164309.3052,172938.8839,172164.1202,167331.4096,173089.8018,178072.2098,175834.9314,181561.7448,166206.2822,156882.7871,172046.8121,183854.0821,186333.6713,190097.7168,187957.2195,183748.2046,174760.3819,176721.7654,165397.9154,164627.8113
18,Northern deep sea shrimp,PWN,22945245.71,43503463.15,39095726.67,87779091.68,33438142.01,34939495.1,48321389.8,62822450.44,45221377.88,49298117.2,40038163.14,52009778.01,67727668.22,85845918.76,112006026.5,87693764.96,126442282.1,78491739.44,71993107.43,98864126.76,83685584.38,108280886.4,52246955.4,59220030.72,91749024.05,103675896.7,70888900.6,111699816.2,45586929.95,39893646.63,38138166.23,49442555.34,82362483.61,87230802.78,86102192.78
19,Lumpfish,PES,444952.7264,450176.7899,454244.4614,456988.5068,459949.5807,462916.0179,466333.9546,469765.2823,473051.6408,475422.8747,476392.5361,478089.226,477012.2732,475348.8082,474349.4033,473922.4255,472859.1479,473192.5504,473694.8525,472947.5289,472888.7017,472445.9238,473922.4168,472828.322,471275.9025,469967.1856,469546.3547,468192.3062,469570.9309,468924.5261,465829.6146,463595.005,461347.6577,459580.5219,458888.4448
20,Sand gaper,BFF,4689450.729,4644550.004,4628857.641,4593239.452,4568731.803,4553229.385,4532039.285,4463963.306,4428572.668,4437184.341,4424843.684,4369479.749,4241341.492,4170873.961,4132859.223,4115823.725,4095882.403,4100805.223,4027083.817,4023184.427,3990060.589,3968873.073,3964147.022,3942746.718,3888021.433,3884705.451,3873618.191,3860214.591,3854695.72,3792625.347,3779800.495,3749429.35,3692351.723,3645128.96,3569153.521
21,Herring,SSH,1480573.384,1491001.912,1529957.43,1563139.631,1588057.277,1637193.915,1678315.225,1689601.67,1702536.438,1735705.063,1790832.446,1814200.432,1855431.656,1869188.008,1894454.821,1918614.343,1937711.757,1961685.181,1990077.987,2008146.503,2009960.782,2023935.799,2054250.383,2067307.5,2072018.408,2079241.023,2091359.845,2094138.346,2093674.664,2089661.523,2094216.875,2112629.632,2128978.16,2125815.769,2124236.098
22,Deep sea redfish,REO,1141086.445,1148739.341,1017371.396,893009.1039,780274.939,694507.1817,648129.9902,612242.8788,557862.5029,529419.7013,529738.9267,516203.1868,477031.5991,447657.9654,426561.164,409252.1198,412589.1346,433920.6951,418372.8089,396517.001,388882.522,386737.2245,377937.8347,383691.3464,397899.4247,394770.1466,385614.2177,373632.0409,363605.4387,365687.1987,369305.4882,378326.9071,376410.9385,376154.4502,375626.2468
